Name,Coordinate
Kelana Jaya PJ,"3.1005461,101.605347"
OUG KL,"3.083185,101.671141"
Tmn Desa KL,"3.102199,101.683826"
Kg Bharu KL,"3.163642,101.702341"
SS3 PJ,"3.096146,101.611167"
Chow Kit KL,"3.166446,101.696497"
Maluri KL,"3.130138,101.732298"
Ampang Jaya Sel,"3.160793,101.758641"
SS 14 Subang Jaya,"3.067884,101.586408"
Pekan Selayang,"3.245192,101.669694"
Pudu Raya KL,"3.14624,101.700487"
Brickfields KL,"3.128676,101.683705"
Tmn City KL,"3.195656,101.668599"
Jln Tiong KL,"3.183259,101.681881"
Jln Gasing PJ,"3.10752,101.653248"
Sec 6 SA,"3.083193,101.50778"
Greenwood Batu Caves,"3.233643,101.706107"
Sec 17 SA,"3.046184,101.504946"
Tmn Cheras KL,"3.100956,101.741727"
YMCA KL,"3.132987,101.689662"
Kepong Baru KL,"3.20252,101.644913"
Tmn Muda Cheras KL,"3.118592,101.76029"
Pandan Jaya KL,"3.136089,101.741979"
Sri Rampai KL,"3.196374,101.731822"
Bintang Walk KL,"3.147396,101.711901"
SS 19 PJ,"3.065532,101.57772"
Port Klang,"3.004186,101.402255"
Southern Park Klg,"3.029267,101.441333"
Pelangi JB,"1.480962,103.773442"
PJ State,"3.098286,101.645275"
Sri Gombak,"3.238053,101.699219"
Jln Raja Muda KL,"3.167557,101.699987"
Tg Bungah Pg,"5.464557,100.292669"
Sentosa JB,"1.493373,103.770785"
Sultan Ismail KL,"3.147565,101.710787"
Sg Ramal Kajang,"2.980643,101.758027"
Tmn Desa Jaya Kepong,"3.216442,101.630002"
P Tikus Pg,"5.430051,100.312785"
Desa Pandan KL,"3.148088,101.7363"
Kosas Ampang,"3.146799,101.771824"
Jelutong Pg,"5.387553,100.312576"
Bayan Baru Pg,"5.326581,100.286671"
Chai Leng Park Pg,"5.38475,100.39316"
Bdr Tun Razak KL,"3.087701,101.720548"
Kg Tunku PJ,"3.09775,101.61918"
Bkt Jambul Pg,"5.333001,100.287647"
Uda JB,"1.499546,103.717622"
Gajah Berang Mlk,"2.207526,102.242986"
